Date,Decile 1,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,High 10,
2/1/1934," 277,535 "," 81,918 "," 6,279 "," 3,323 "," 6,691 "," 59,732 "," 14,636 "," 206,157 "," 510,918 ", 726 
3/1/1934," 7,346 "," 227,234 "," 1,137 "," 345,433 "," 2,039,388 "," 8,806 "," 2,020 "," 3,646 "," 28,897 "," 2,020 "
4/1/1934," 7,391 "," 51,426 ", 932 ," 10,955 "," 137,545 "," 8,666 "," 2,475 "," 25,354 "," 14,395 ", 616 
5/1/1934, 115 , 109 , 106 , 106 , 73 , 58 , 63 , 58 , 48 , 57 
6/1/1934," 2,426 "," 999,000 "," 100,010,000 "," 30,954 "," 11,424 "," 16,565 "," 3,519 "," 1,388 "," 2,021 "," 188,601 "
7/1/1934, 15 , 15 , 16 , 19 , 22 , 25 , 20 , 57 , 49 , 26 
8/1/1934, 230 , 90 , 67 , 114 , 146 , 131 , 119 , 143 , 90 , 76 
9/1/1934," 2,178 "," 1,240 "," 1,784 "," 8,806 "," 2,868 "," 226,281 "," 12,800 "," 12,186 "," 20,265 "," 8,174 "
10/1/1934, 296 , 203 , 336 , 816 , 752 ," 5,751 "," 40,200 "," 2,765 "," 2,681 "," 2,681 "
11/1/1934, 69 , 79 , 76 , 64 , 99 , 63 , 60 , 46 , 52 , 62 
12/1/1934," 2,452 ", 765 ," 30,954 "," 27,945 "," 6,913 "," 8,666 "," 20,551 "," 2,294 ", 559 , 238 
1/1/1935, 677 , 685 , 400 ," 2,806 "," 2,426 ", 417 , 846 ," 1,325 ", 851 ," 1,931 "
2/1/1935, 23 , 60 , 75 , 188 , 141 ," 1,753 "," 29,554 "," 148,314 "," 6,279 "," 8,206 "
3/1/1935, 66 , 79 , 154 , 92 , 252 , 134 , 207 , 752 , 385 , 410 
4/1/1935, 118 , 35 , 116 , 101 , 68 , 94 , 295 , 219 , 159 , 242 
5/1/1935, 350 ," 9,342 ", 687 ," 2,272 ", 762 ," 1,666 "," 8,355 "," 66,003 "," 2,976 "," 1,473 "
6/1/1935," 2,718 "," 2,794 ", 943 ," 1,399 ", 289 , 274 , 415 , 261 , 328 , 220 
7/1/1935, 59 , 50 , 49 , 80 , 111 , 457 , 76 , 155 , 141 , 129 
8/1/1935, 19 , 42 , 71 , 415 , 549 , 712 , 622 , 694 ," 1,311 ", 296 
9/1/1935, 96 ," 15,365 "," 20,551 "," 2,251 "," 1,266 ", 470 ," 2,550 ", 512 , 315 , 117 
10/1/1935, 159 , 107 , 439 , 176 , 158 , 218 , 137 , 122 , 135 , 90 
11/1/1935, 8 , 21 , 58 , 111 , 51 , 146 , 251 , 127 , 127 , 97 
12/1/1935," 7,883 ", 943 , 206 , 356 , 449 , 644 , 115 , 244 , 152 , 109 
1/1/1936, 20 , 42 , 40 , 79 , 67 , 97 , 54 , 49 , 40 , 89 
2/1/1936," 4,633 "," 2,190 "," 2,576 ", 943 , 315 , 226 , 291 , 165 , 353 ," 1,359 "
3/1/1936," 92,130 "," 5,104 "," 3,779 "," 346,609 "," 11,966 "," 10,731 "," 13,027 "," 62,250 "," 1,529 ", 641 
4/1/1936, 278 , 528 , 71 , 63 , 50 , 46 , 30 , 45 , 36 , 23 
5/1/1936," 1,666 "," 1,378 ", 412 , 690 , 567 , 385 , 194 , 258 , 274 , 147 
6/1/1936," 8,481 "," 11,186 "," 136,804 "," 127,908 "," 13,637 "," 13,637 "," 391,250 "," 8,481 "," 2,405 ", 958 
7/1/1936," 1,183 ", 337 , 330 , 106 , 166 , 213 , 107 , 142 , 103 , 109 
8/1/1936," 38,643 "," 43,611 "," 1,495 "," 1,183 ", 562 ," 1,002 "," 308,087 ", 608 , 666 ," 86,799 "
9/1/1936, 315 ," 8,509 ", 990 ," 1,115 "," 1,293 ", 397 ," 20,551 ", 723 ," 1,518 ", 514 
10/1/1936, 254 , 338 , 459 , 205 , 552 , 210 , 113 , 198 , 273 , 230 
